ENSP00000371847.2,ENST00000382410.3,ENSG00000178591.7,DEFB125
ENSP00000368263.4,ENST00000378979.8,ENSG00000171984.16,SHLD1
ENSP00000305875.6,ENST00000303142.11,ENSG00000171984.16,SHLD1
ENSP00000399331.1,ENST00000445603.1,ENSG00000171984.16,SHLD1
ENSP00000410534.1,ENST00000442185.1,ENSG00000171984.16,SHLD1
ENSP00000368244.4,ENST00000378961.9,ENSG00000089199.11,CHGB
ENSP00000416643.1,ENST00000455042.1,ENSG00000089199.11,CHGB
ENSP00000203001.2,ENST00000203001.7,ENSG00000089195.16,TRMT6
ENSP00000392070.2,ENST00000453074.6,ENSG00000089195.16,TRMT6
ENSP00000368161.1,ENST00000378883.5,ENSG00000125885.14,MCM8
ENSP00000368164.2,ENST00000378886.6,ENSG00000125885.14,MCM8
ENSP00000368174.3,ENST00000378896.7,ENSG00000125885.14,MCM8
ENSP00000478141.1,ENST00000610722.4,ENSG00000125885.14,MCM8
ENSP00000265187.4,ENST00000265187.4,ENSG00000125885.14,MCM8
ENSP00000498784.1,ENST00000652720.1,ENSG00000286235.1,ENSG00000286235
ENSP00000416770.1,ENST00000452938.5,ENSG00000088766.13,CRLS1
ENSP00000368140.4,ENST00000378863.9,ENSG00000088766.13,CRLS1
ENSP00000368145.3,ENST00000378868.4,ENSG00000088766.13,CRLS1
ENSP00000513938.1,ENST00000698795.1,ENSG00000125872.10,LRRN4
ENSP00000368135.4,ENST00000378858.5,ENSG00000125872.10,LRRN4
ENSP00000513939.1,ENST00000698797.1,ENSG00000125872.10,LRRN4
ENSP00000217289.4,ENST00000217289.9,ENSG00000101311.18,FERMT1
ENSP00000514127.1,ENST00000699095.1,ENSG00000101311.18,FERMT1
ENSP00000441063.2,ENST00000536936.1,ENSG00000101311.18,FERMT1
ENSP00000514312.1,ENST00000699098.1,ENSG00000101311.18,FERMT1
ENSP00000368104.3,ENST00000378827.5,ENSG00000125845.8,BMP2
ENSP00000368066.3,ENST00000378789.4,ENSG00000101323.6,HAO1
ENSP00000246024.2,ENST00000246024.7,ENSG00000125827.10,TMX4
ENSP00000435735.1,ENST00000527925.1,ENSG00000125827.10,TMX4
ENSP00000433878.1,ENST00000462384.6,ENSG00000125827.10,TMX4
ENSP00000490862.1,ENST00000637919.1,ENSG00000182621.19,PLCB1
ENSP00000486301.1,ENST00000625874.2,ENSG00000182621.19,PLCB1
ENSP00000486655.1,ENST00000630495.2,ENSG00000182621.19,PLCB1
ENSP00000367908.3,ENST00000378641.7,ENSG00000182621.19,PLCB1
ENSP00000338185.6,ENST00000338037.11,ENSG00000182621.19,PLCB1
ENSP00000486531.1,ENST00000629992.2,ENSG00000182621.19,PLCB1
ENSP00000490455.1,ENST00000636319.1,ENSG00000182621.19,PLCB1
ENSP00000384001.3,ENST00000404098.6,ENSG00000182621.19,PLCB1
ENSP00000367904.2,ENST00000378637.6,ENSG00000182621.19,PLCB1
ENSP00000490771.1,ENST00000637204.1,ENSG00000182621.19,PLCB1
ENSP00000487075.1,ENST00000626966.2,ENSG00000182621.19,PLCB1
ENSP00000486428.1,ENST00000475958.1,ENSG00000182621.19,PLCB1
ENSP00000431704.1,ENST00000487210.5,ENSG00000182621.19,PLCB1
ENSP00000391162.1,ENST00000439627.2,ENSG00000182621.19,PLCB1
ENSP00000487544.1,ENST00000628239.2,ENSG00000182621.19,PLCB1
ENSP00000490792.1,ENST00000635929.1,ENSG00000182621.19,PLCB1
ENSP00000389911.2,ENST00000437439.2,ENSG00000182621.19,PLCB1
ENSP00000489643.1,ENST00000637422.1,ENSG00000182621.19,PLCB1
ENSP00000490641.1,ENST00000637935.1,ENSG00000182621.19,PLCB1
ENSP00000367762.2,ENST00000378501.3,ENSG00000101333.20,PLCB4
ENSP00000367754.1,ENST00000378493.6,ENSG00000101333.20,PLCB4
ENSP00000412982.1,ENST00000441846.5,ENSG00000101333.20,PLCB4
ENSP00000510632.1,ENST00000685110.1,ENSG00000101333.20,PLCB4
ENSP00000509615.1,ENST00000688325.1,ENSG00000101333.20,PLCB4
ENSP00000390616.3,ENST00000414679.7,ENSG00000101333.20,PLCB4
ENSP00000510512.1,ENST00000685148.1,ENSG00000101333.20,PLCB4
ENSP00000510118.1,ENST00000686871.1,ENSG00000101333.20,PLCB4
ENSP00000509150.1,ENST00000688837.1,ENSG00000101333.20,PLCB4
ENSP00000509321.1,ENST00000687765.1,ENSG00000101333.20,PLCB4
ENSP00000509167.1,ENST00000693544.1,ENSG00000101333.20,PLCB4
ENSP00000508677.1,ENST00000693752.1,ENSG00000101333.20,PLCB4
ENSP00000510444.1,ENST00000693502.1,ENSG00000101333.20,PLCB4
ENSP00000509641.1,ENST00000687299.1,ENSG00000101333.20,PLCB4
ENSP00000508467.1,ENST00000686584.1,ENSG00000101333.20,PLCB4
ENSP00000510302.1,ENST00000685859.1,ENSG00000101333.20,PLCB4
ENSP00000508650.1,ENST00000689910.1,ENSG00000101333.20,PLCB4
ENSP00000509390.1,ENST00000685298.1,ENSG00000101333.20,PLCB4
ENSP00000508624.1,ENST00000690729.1,ENSG00000101333.20,PLCB4
ENSP00000367734.5,ENST00000378473.9,ENSG00000101333.20,PLCB4
ENSP00000509144.1,ENST00000684997.1,ENSG00000101333.20,PLCB4
ENSP00000508595.1,ENST00000686313.1,ENSG00000101333.20,PLCB4
ENSP00000510215.1,ENST00000691007.1,ENSG00000101333.20,PLCB4
ENSP00000508600.1,ENST00000686976.1,ENSG00000101333.20,PLCB4
ENSP00000510275.1,ENST00000687446.1,ENSG00000101333.20,PLCB4
ENSP00000508676.1,ENST00000685823.1,ENSG00000101333.20,PLCB4
ENSP00000509409.1,ENST00000686117.1,ENSG00000101333.20,PLCB4
ENSP00000508726.1,ENST00000685568.1,ENSG00000101333.20,PLCB4
ENSP00000510734.1,ENST00000685482.1,ENSG00000101333.20,PLCB4
ENSP00000508442.1,ENST00000686163.1,ENSG00000101333.20,PLCB4
ENSP00000510063.1,ENST00000693160.1,ENSG00000101333.20,PLCB4
ENSP00000509265.1,ENST00000691112.1,ENSG00000101333.20,PLCB4
ENSP00000508817.1,ENST00000686893.1,ENSG00000101333.20,PLCB4
ENSP00000510457.1,ENST00000689010.1,ENSG00000101333.20,PLCB4
ENSP00000509766.1,ENST00000693492.1,ENSG00000101333.20,PLCB4
ENSP00000509460.1,ENST00000690960.1,ENSG00000101333.20,PLCB4
ENSP00000510341.1,ENST00000692085.1,ENSG00000101333.20,PLCB4
ENSP00000509227.1,ENST00000692395.1,ENSG00000101333.20,PLCB4
ENSP00000510725.1,ENST00000693090.1,ENSG00000101333.20,PLCB4
ENSP00000510690.1,ENST00000686253.1,ENSG00000101333.20,PLCB4
ENSP00000509597.1,ENST00000693005.1,ENSG00000101333.20,PLCB4
ENSP00000510124.1,ENST00000685310.1,ENSG00000101333.20,PLCB4
ENSP00000509912.1,ENST00000688656.1,ENSG00000101333.20,PLCB4
ENSP00000278655.5,ENST00000278655.9,ENSG00000101333.20,PLCB4
ENSP00000395753.1,ENST00000416836.5,ENSG00000101333.20,PLCB4
ENSP00000509212.1,ENST00000492632.5,ENSG00000101333.20,PLCB4
ENSP00000510662.1,ENST00000689392.1,ENSG00000101333.20,PLCB4
ENSP00000406360.1,ENST00000427562.6,ENSG00000125869.11,LAMP5
ENSP00000246070.2,ENST00000246070.3,ENSG00000125869.11,LAMP5
ENSP00000322957.5,ENST00000353224.10,ENSG00000101349.18,PAK5
ENSP00000367679.1,ENST00000378423.5,ENSG00000101349.18,PAK5
ENSP00000367686.3,ENST00000378429.3,ENSG00000101349.18,PAK5
ENSP00000367644.1,ENST00000378392.6,ENSG00000132623.17,ANKEF1
ENSP00000367631.3,ENST00000378380.4,ENSG00000132623.17,ANKEF1
ENSP00000254976.3,ENST00000254976.7,ENSG00000132639.16,SNAP25
ENSP00000508541.1,ENST00000691665.1,ENSG00000132639.16,SNAP25
ENSP00000307341.2,ENST00000304886.6,ENSG00000132639.16,SNAP25
ENSP00000510558.1,ENST00000693325.1,ENSG00000132639.16,SNAP25
ENSP00000510663.1,ENST00000689858.1,ENSG00000132639.16,SNAP25
ENSP00000509312.1,ENST00000689757.1,ENSG00000132639.16,SNAP25
ENSP00000508837.1,ENST00000685131.1,ENSG00000132639.16,SNAP25
ENSP00000510219.1,ENST00000687785.1,ENSG00000132639.16,SNAP25
ENSP00000510109.1,ENST00000691161.1,ENSG00000132639.16,SNAP25
ENSP00000508939.1,ENST00000692411.1,ENSG00000132639.16,SNAP25
ENSP00000509287.1,ENST00000690812.1,ENSG00000132639.16,SNAP25
ENSP00000400720.1,ENST00000430336.1,ENSG00000132639.16,SNAP25
ENSP00000516314.1,ENST00000706269.1,ENSG00000132639.16,SNAP25
ENSP00000509759.1,ENST00000691353.1,ENSG00000132639.16,SNAP25
ENSP00000246062.4,ENST00000347364.7,ENSG00000125863.20,MKKS
ENSP00000498849.1,ENST00000651692.1,ENSG00000125863.20,MKKS
ENSP00000382008.2,ENST00000399054.6,ENSG00000125863.20,MKKS
ENSP00000477297.2,ENST00000609375.1,ENSG00000285508.2,ENSG00000285508
ENSP00000518845.1,ENST00000713549.1,ENSG00000285508.2,ENSG00000285508
ENSP00000497510.1,ENST00000649912.2,ENSG00000285723.2,ENSG00000285723
ENSP00000335557.5,ENST00000334534.10,ENSG00000149346.16,SLX4IP
ENSP00000432784.1,ENST00000488816.1,ENSG00000149346.16,SLX4IP
ENSP00000254958.4,ENST00000254958.10,ENSG00000101384.13,JAG1
ENSP00000481034.1,ENST00000613518.1,ENSG00000101384.13,JAG1
ENSP00000484139.1,ENST00000622545.1,ENSG00000101384.13,JAG1
ENSP00000254977.3,ENST00000254977.7,ENSG00000132640.15,BTBD3
ENSP00000381971.2,ENST00000399006.6,ENSG00000132640.15,BTBD3
ENSP00000384545.1,ENST00000405977.5,ENSG00000132640.15,BTBD3
ENSP00000410502.1,ENST00000449299.5,ENSG00000132640.15,BTBD3
ENSP00000404268.1,ENST00000450368.1,ENSG00000132640.15,BTBD3
ENSP00000397809.1,ENST00000422390.5,ENSG00000132640.15,BTBD3
ENSP00000483520.1,ENST00000618918.4,ENSG00000132640.15,BTBD3
ENSP00000477589.1,ENST00000618296.4,ENSG00000132640.15,BTBD3
ENSP00000367471.2,ENST00000378226.7,ENSG00000132640.15,BTBD3
ENSP00000408817.1,ENST00000455911.5,ENSG00000132640.15,BTBD3
ENSP00000404582.1,ENST00000430557.1,ENSG00000132640.15,BTBD3
ENSP00000381968.2,ENST00000399002.7,ENSG00000172296.14,SPTLC3
ENSP00000389749.1,ENST00000434210.5,ENSG00000172296.14,SPTLC3
ENSP00000409125.1,ENST00000450297.1,ENSG00000172296.14,SPTLC3
ENSP00000409760.1,ENST00000431275.1,ENSG00000172296.14,SPTLC3
ENSP00000262487.3,ENST00000262487.5,ENSG00000101230.6,ISM1
ENSP00000338624.4,ENST00000337743.9,ENSG00000089123.17,TASP1
ENSP00000400580.1,ENST00000455532.5,ENSG00000089123.17,TASP1
ENSP00000387574.1,ENST00000434275.1,ENSG00000089123.17,TASP1
ENSP00000202816.1,ENST00000202816.5,ENSG00000089048.16,ESF1
ENSP00000480783.2,ENST00000617257.2,ENSG00000089048.16,ESF1
ENSP00000437325.1,ENST00000378081.9,ENSG00000101247.19,NDUFAF5
ENSP00000367346.5,ENST00000378106.10,ENSG00000101247.19,NDUFAF5
ENSP00000420497.1,ENST00000463598.1,ENSG00000101247.19,NDUFAF5
ENSP00000284951.5,ENST00000284951.10,ENSG00000101251.13,SEL1L2
ENSP00000418040.1,ENST00000475649.5,ENSG00000101251.13,SEL1L2
ENSP00000394598.2,ENST00000423870.6,ENSG00000101251.13,SEL1L2
ENSP00000367312.5,ENST00000378072.5,ENSG00000101251.13,SEL1L2
ENSP00000493577.1,ENST00000486903.5,ENSG00000101251.13,SEL1L2
ENSP00000494947.1,ENST00000646153.1,ENSG00000101251.13,SEL1L2
ENSP00000420372.1,ENST00000473203.1,ENSG00000101251.13,SEL1L2
ENSP00000217246.4,ENST00000217246.8,ENSG00000172264.19,MACROD2
ENSP00000507484.1,ENST00000684519.1,ENSG00000172264.19,MACROD2
ENSP00000496601.1,ENST00000642719.1,ENSG00000172264.19,MACROD2
ENSP00000385290.1,ENST00000402914.5,ENSG00000172264.19,MACROD2
ENSP00000385516.3,ENST00000407045.3,ENSG00000172264.19,MACROD2
ENSP00000339912.4,ENST00000341420.5,ENSG00000125848.11,FLRT3
ENSP00000367292.3,ENST00000378053.3,ENSG00000125848.11,FLRT3
ENSP00000489838.1,ENST00000636835.1,ENSG00000089177.21,KIF16B
ENSP00000347076.2,ENST00000354981.7,ENSG00000089177.21,KIF16B
ENSP00000490639.2,ENST00000635823.2,ENSG00000089177.21,KIF16B
ENSP00000384164.1,ENST00000408042.5,ENSG00000089177.21,KIF16B
ENSP00000396264.1,ENST00000450176.1,ENSG00000089177.21,KIF16B
ENSP00000367178.5,ENST00000377943.9,ENSG00000125870.12,SNRPB2
ENSP00000246071.6,ENST00000246071.8,ENSG00000125870.12,SNRPB2
ENSP00000246081.3,ENST00000246081.3,ENSG00000125879.5,OTOR
ENSP00000367131.1,ENST00000377899.5,ENSG00000125851.11,PCSK2
ENSP00000262545.2,ENST00000262545.7,ENSG00000125851.11,PCSK2
ENSP00000437458.1,ENST00000536609.1,ENSG00000125851.11,PCSK2
ENSP00000367104.3,ENST00000377873.8,ENSG00000125864.15,BFSP1
ENSP00000367099.2,ENST00000377868.6,ENSG00000125864.15,BFSP1
ENSP00000442522.1,ENST00000536626.7,ENSG00000125864.15,BFSP1
ENSP00000246069.6,ENST00000246069.12,ENSG00000125868.17,DSTN
ENSP00000476975.1,ENST00000474024.5,ENSG00000125868.17,DSTN
ENSP00000434355.1,ENST00000449141.2,ENSG00000125868.17,DSTN
ENSP00000478324.1,ENST00000470422.5,ENSG00000125844.18,RRBP1
ENSP00000246043.4,ENST00000246043.8,ENSG00000125844.18,RRBP1
ENSP00000367038.2,ENST00000377807.6,ENSG00000125844.18,RRBP1
ENSP00000354045.4,ENST00000360807.8,ENSG00000125844.18,RRBP1
ENSP00000367044.1,ENST00000377813.6,ENSG00000125844.18,RRBP1
ENSP00000401206.2,ENST00000455029.3,ENSG00000125844.18,RRBP1
ENSP00000476483.1,ENST00000495501.2,ENSG00000125844.18,RRBP1
ENSP00000381762.2,ENST00000398782.2,ENSG00000125844.18,RRBP1
ENSP00000439128.1,ENST00000545418.2,ENSG00000125888.15,BANF2
ENSP00000398738.1,ENST00000427254.1,ENSG00000125888.15,BANF2
ENSP00000367036.3,ENST00000377805.7,ENSG00000125888.15,BANF2
ENSP00000246090.5,ENST00000246090.6,ENSG00000125888.15,BANF2
ENSP00000366998.3,ENST00000377768.7,ENSG00000089006.18,SNX5
ENSP00000366988.3,ENST00000377759.9,ENSG00000089006.18,SNX5
ENSP00000479021.1,ENST00000463050.5,ENSG00000089006.18,SNX5
ENSP00000404448.1,ENST00000431277.5,ENSG00000089006.18,SNX5
ENSP00000406731.2,ENST00000419004.2,ENSG00000089006.18,SNX5
ENSP00000475510.1,ENST00000606557.1,ENSG00000089006.18,SNX5
ENSP00000476097.1,ENST00000606602.1,ENSG00000089006.18,SNX5
ENSP00000475606.1,ENST00000481323.1,ENSG00000089006.18,SNX5
ENSP00000475983.1,ENST00000486039.1,ENSG00000089006.18,SNX5
ENSP00000278780.5,ENST00000278780.7,ENSG00000125850.11,OVOL2
ENSP00000366939.5,ENST00000377710.10,ENSG00000125871.15,MGME1
ENSP00000366938.1,ENST00000377709.1,ENSG00000125871.15,MGME1
ENSP00000366933.4,ENST00000377704.4,ENSG00000125871.15,MGME1
ENSP00000503109.1,ENST00000677174.1,ENSG00000149474.15,KAT14
ENSP00000503522.1,ENST00000677573.1,ENSG00000149474.15,KAT14
ENSP00000366909.3,ENST00000377681.8,ENSG00000149474.15,KAT14
ENSP00000504321.1,ENST00000678777.1,ENSG00000149474.15,KAT14
ENSP00000503780.1,ENST00000676992.1,ENSG00000149474.15,KAT14
ENSP00000508684.1,ENST00000688188.1,ENSG00000149474.15,KAT14
ENSP00000504050.1,ENST00000677266.1,ENSG00000149474.15,KAT14
ENSP00000504748.1,ENST00000677610.1,ENSG00000149474.15,KAT14
ENSP00000503493.1,ENST00000676935.1,ENSG00000149474.15,KAT14
ENSP00000424752.2,ENST00000464792.2,ENSG00000149474.15,KAT14
ENSP00000392318.2,ENST00000435364.8,ENSG00000149474.15,KAT14
ENSP00000504276.1,ENST00000678772.1,ENSG00000149474.15,KAT14
ENSP00000425909.2,ENST00000489634.2,ENSG00000149474.15,KAT14
ENSP00000397881.2,ENST00000432901.4,ENSG00000232838.4,PET117
ENSP00000400897.3,ENST00000396026.7,ENSG00000125846.18,ZNF133
ENSP00000481326.1,ENST00000622607.4,ENSG00000125846.18,ZNF133
ENSP00000366899.3,ENST00000377671.7,ENSG00000125846.18,ZNF133
ENSP00000439427.3,ENST00000535822.6,ENSG00000125846.18,ZNF133
ENSP00000513877.1,ENST00000698696.1,ENSG00000125846.18,ZNF133
ENSP00000513878.1,ENST00000698697.1,ENSG00000125846.18,ZNF133
ENSP00000353105.5,ENST00000360010.9,ENSG00000125846.18,ZNF133
ENSP00000487315.1,ENST00000628216.2,ENSG00000125846.18,ZNF133
ENSP00000513879.1,ENST00000698698.1,ENSG00000125846.18,ZNF133
ENSP00000406638.2,ENST00000425686.3,ENSG00000125846.18,ZNF133
ENSP00000403835.1,ENST00000434018.5,ENSG00000125846.18,ZNF133
ENSP00000485741.1,ENST00000630056.1,ENSG00000125846.18,ZNF133
ENSP00000385279.3,ENST00000402618.7,ENSG00000125846.18,ZNF133
ENSP00000513883.1,ENST00000698704.1,ENSG00000125846.18,ZNF133
ENSP00000383945.1,ENST00000401790.6,ENSG00000125846.18,ZNF133
ENSP00000513880.1,ENST00000698699.1,ENSG00000125846.18,ZNF133
ENSP00000513884.1,ENST00000698705.1,ENSG00000125846.18,ZNF133
ENSP00000486044.1,ENST00000626025.2,ENSG00000125846.18,ZNF133
ENSP00000513881.1,ENST00000698700.1,ENSG00000125846.18,ZNF133
ENSP00000346090.3,ENST00000316358.8,ENSG00000125846.18,ZNF133
ENSP00000366857.6,ENST00000377630.9,ENSG00000089091.18,DZANK1
ENSP00000514418.1,ENST00000699525.1,ENSG00000089091.18,DZANK1
ENSP00000514442.1,ENST00000699568.1,ENSG00000089091.18,DZANK1
ENSP00000262547.5,ENST00000262547.9,ENSG00000089091.18,DZANK1
ENSP00000349774.5,ENST00000357236.8,ENSG00000089091.18,DZANK1
ENSP00000351734.6,ENST00000358866.10,ENSG00000089091.18,DZANK1
ENSP00000476391.1,ENST00000608192.5,ENSG00000089091.18,DZANK1
ENSP00000514460.1,ENST00000699588.1,ENSG00000089091.18,DZANK1
ENSP00000514461.1,ENST00000699590.1,ENSG00000089091.18,DZANK1
ENSP00000514474.1,ENST00000699607.1,ENSG00000089091.18,DZANK1
ENSP00000477046.1,ENST00000609267.5,ENSG00000089091.18,DZANK1
ENSP00000484666.1,ENST00000480488.2,ENSG00000089091.18,DZANK1
ENSP00000477872.1,ENST00000460891.5,ENSG00000089091.18,DZANK1
ENSP00000514462.1,ENST00000699591.1,ENSG00000089091.18,DZANK1
ENSP00000513370.1,ENST00000697645.1,ENSG00000132664.14,POLR3F
ENSP00000513371.1,ENST00000697647.1,ENSG00000132664.14,POLR3F
ENSP00000513372.1,ENST00000697649.1,ENSG00000132664.14,POLR3F
ENSP00000513373.1,ENST00000697650.1,ENSG00000132664.14,POLR3F
ENSP00000513374.1,ENST00000697651.1,ENSG00000132664.14,POLR3F
ENSP00000513375.1,ENST00000462997.6,ENSG00000132664.14,POLR3F
ENSP00000513376.1,ENST00000697652.1,ENSG00000132664.14,POLR3F
ENSP00000366828.4,ENST00000377603.5,ENSG00000132664.14,POLR3F
ENSP00000513377.1,ENST00000497333.5,ENSG00000132664.14,POLR3F
ENSP00000513378.1,ENST00000697653.1,ENSG00000132664.14,POLR3F
ENSP00000513379.1,ENST00000697654.1,ENSG00000132664.14,POLR3F
ENSP00000513380.1,ENST00000697655.1,ENSG00000132664.14,POLR3F
ENSP00000513381.1,ENST00000697656.1,ENSG00000132664.14,POLR3F
ENSP00000513382.1,ENST00000697657.1,ENSG00000132664.14,POLR3F
ENSP00000513383.1,ENST00000697658.1,ENSG00000132664.14,POLR3F
ENSP00000513384.1,ENST00000489753.1,ENSG00000132664.14,POLR3F
ENSP00000513385.1,ENST00000697660.1,ENSG00000132664.14,POLR3F
ENSP00000336866.4,ENST00000337227.9,ENSG00000089050.17,RBBP9
ENSP00000338844.3,ENST00000336714.8,ENSG00000101310.18,SEC23B
ENSP00000495008.1,ENST00000646240.1,ENSG00000101310.18,SEC23B
ENSP00000403971.1,ENST00000450074.6,ENSG00000101310.18,SEC23B
ENSP00000262544.2,ENST00000262544.6,ENSG00000101310.18,SEC23B
ENSP00000496460.1,ENST00000643747.1,ENSG00000101310.18,SEC23B
ENSP00000496118.1,ENST00000474619.1,ENSG00000101310.18,SEC23B
ENSP00000496507.1,ENST00000645851.1,ENSG00000101310.18,SEC23B
ENSP00000366685.1,ENST00000377465.6,ENSG00000101310.18,SEC23B
ENSP00000497473.1,ENST00000650089.1,ENSG00000101310.18,SEC23B
ENSP00000409882.1,ENST00000422877.1,ENSG00000101310.18,SEC23B
ENSP00000485491.1,ENST00000435844.3,ENSG00000232388.5,SMIM26
ENSP00000485316.2,ENST00000411646.2,ENSG00000232388.5,SMIM26
ENSP00000485501.1,ENST00000608034.1,ENSG00000232388.5,SMIM26
ENSP00000482916.1,ENST00000618693.4,ENSG00000284776.1,ENSG00000284776
ENSP00000493969.1,ENST00000647441.1,ENSG00000125821.14,DTD1
ENSP00000495845.1,ENST00000494921.2,ENSG00000125821.14,DTD1
ENSP00000366672.4,ENST00000377452.4,ENSG00000125821.14,DTD1
ENSP00000366645.2,ENST00000377428.4,ENSG00000132631.6,SCP2D1
ENSP00000333519.5,ENST00000328041.11,ENSG00000185052.14,SLC24A3
ENSP00000255006.7,ENST00000255006.12,ENSG00000132669.15,RIN2
ENSP00000498085.1,ENST00000648440.1,ENSG00000132669.15,RIN2
ENSP00000391239.2,ENST00000440354.2,ENSG00000132669.15,RIN2
ENSP00000311027.4,ENST00000310450.8,ENSG00000173418.13,NAA20
ENSP00000335636.4,ENST00000334982.9,ENSG00000173418.13,NAA20
ENSP00000381603.2,ENST00000398602.2,ENSG00000173418.13,NAA20
ENSP00000440733.1,ENST00000536226.2,ENSG00000101343.16,CRNKL1
ENSP00000366544.4,ENST00000377327.8,ENSG00000101343.16,CRNKL1
ENSP00000366557.2,ENST00000377340.6,ENSG00000101343.16,CRNKL1
ENSP00000429226.1,ENST00000490910.5,ENSG00000101343.16,CRNKL1
ENSP00000428436.1,ENST00000496549.5,ENSG00000101343.16,CRNKL1
ENSP00000345553.6,ENST00000340348.10,ENSG00000089101.20,CFAP61
ENSP00000245957.5,ENST00000245957.10,ENSG00000089101.20,CFAP61
ENSP00000501498.1,ENST00000674269.1,ENSG00000089101.20,CFAP61
ENSP00000366521.1,ENST00000377306.5,ENSG00000089101.20,CFAP61
ENSP00000420438.1,ENST00000494029.5,ENSG00000089101.20,CFAP61
ENSP00000366518.2,ENST00000377303.6,ENSG00000089101.20,CFAP61
ENSP00000417086.1,ENST00000475466.5,ENSG00000089101.20,CFAP61
ENSP00000414537.2,ENST00000451767.6,ENSG00000089101.20,CFAP61
ENSP00000420498.1,ENST00000472660.1,ENSG00000089101.20,CFAP61
ENSP00000397311.2,ENST00000442372.2,ENSG00000089101.20,CFAP61
ENSP00000388074.1,ENST00000431753.1,ENSG00000089101.20,CFAP61
ENSP00000501383.1,ENST00000468719.6,ENSG00000089101.20,CFAP61
ENSP00000366508.1,ENST00000377293.5,ENSG00000089101.20,CFAP61
ENSP00000366523.2,ENST00000377308.6,ENSG00000089101.20,CFAP61
ENSP00000374307.3,ENST00000389656.4,ENSG00000089101.20,CFAP61
ENSP00000312631.1,ENST00000310227.3,ENSG00000173404.5,INSM1
ENSP00000202677.6,ENST00000202677.12,ENSG00000188559.17,RALGAPA2
ENSP00000400085.1,ENST00000430436.5,ENSG00000188559.17,RALGAPA2
ENSP00000388695.1,ENST00000427175.2,ENSG00000188559.17,RALGAPA2
ENSP00000497063.1,ENST00000495793.2,ENSG00000188559.17,RALGAPA2
ENSP00000484706.1,ENST00000619574.4,ENSG00000088970.17,KIZ
ENSP00000478019.1,ENST00000620891.4,ENSG00000088970.17,KIZ
ENSP00000480859.1,ENST00000612654.1,ENSG00000088970.17,KIZ
ENSP00000483644.2,ENST00000611685.4,ENSG00000088970.17,KIZ
ENSP00000480612.1,ENST00000616848.4,ENSG00000088970.17,KIZ
ENSP00000479542.1,ENST00000619189.5,ENSG00000088970.17,KIZ
ENSP00000483065.1,ENST00000616679.4,ENSG00000088970.17,KIZ
ENSP00000477873.1,ENST00000619179.4,ENSG00000088970.17,KIZ
ENSP00000480652.1,ENST00000621366.1,ENSG00000088970.17,KIZ
ENSP00000366396.3,ENST00000377191.5,ENSG00000088930.9,XRN2
ENSP00000345147.4,ENST00000351817.5,ENSG00000125816.5,NKX2-4
ENSP00000366347.4,ENST00000377142.5,ENSG00000125820.6,NKX2-2
ENSP00000381499.2,ENST00000398485.6,ENSG00000125813.15,PAX1
ENSP00000481334.1,ENST00000613128.5,ENSG00000125813.15,PAX1
ENSP00000410355.2,ENST00000444366.2,ENSG00000125813.15,PAX1
ENSP00000400341.3,ENST00000419308.7,ENSG00000125798.16,FOXA2
ENSP00000366319.4,ENST00000377115.4,ENSG00000125798.16,FOXA2
ENSP00000255008.3,ENST00000255008.5,ENSG00000132671.6,SSTR4
ENSP00000366307.2,ENST00000377103.3,ENSG00000178726.7,THBD
ENSP00000246006.4,ENST00000246006.5,ENSG00000125810.11,CD93
ENSP00000254998.2,ENST00000254998.3,ENSG00000132661.5,NXT1
ENSP00000338290.5,ENST00000338121.10,ENSG00000125812.17,GZF1
ENSP00000410009.1,ENST00000424216.1,ENSG00000125812.17,GZF1
ENSP00000366250.2,ENST00000377051.2,ENSG00000125812.17,GZF1
ENSP00000381459.3,ENST00000398425.7,ENSG00000125814.18,NAPB
ENSP00000413600.2,ENST00000432543.6,ENSG00000125814.18,NAPB
ENSP00000482826.1,ENST00000617876.4,ENSG00000125814.18,NAPB
ENSP00000366225.4,ENST00000377026.4,ENSG00000125814.18,NAPB
ENSP00000246020.2,ENST00000246020.3,ENSG00000125823.13,CSTL1
ENSP00000344907.1,ENST00000347397.5,ENSG00000125823.13,CSTL1
ENSP00000366206.3,ENST00000377007.3,ENSG00000125831.11,CST11
ENSP00000366208.3,ENST00000377009.8,ENSG00000125831.11,CST11
ENSP00000399144.1,ENST00000449810.5,ENSG00000125815.9,CST8
ENSP00000246012.1,ENST00000246012.2,ENSG00000125815.9,CST8
ENSP00000366178.3,ENST00000376979.4,ENSG00000101435.5,CST9L
ENSP00000366170.4,ENST00000376971.4,ENSG00000173335.5,CST9
ENSP00000381448.1,ENST00000398411.5,ENSG00000101439.10,CST3
ENSP00000366124.3,ENST00000376925.8,ENSG00000101439.10,CST3
ENSP00000381446.1,ENST00000398409.1,ENSG00000101439.10,CST3
ENSP00000217423.3,ENST00000217423.4,ENSG00000101441.5,CST4
ENSP00000305731.2,ENST00000304749.7,ENSG00000170373.9,CST1
ENSP00000381439.1,ENST00000398402.1,ENSG00000170373.9,CST1
ENSP00000307540.2,ENST00000304725.3,ENSG00000170369.4,CST2
ENSP00000307132.4,ENST00000304710.5,ENSG00000170367.6,CST5
ENSP00000286890.4,ENST00000286890.8,ENSG00000149435.13,GGTLC1
ENSP00000278765.4,ENST00000278765.8,ENSG00000149435.13,GGTLC1
